"yr_built","yr_remodel","overall_cond","bed_rms","full_bth","num_stops_0.25","num_stops_0.50","total_value","lu","bldg_value","land_value","res_units","living_area","condo"
1890,NA,"A - Average",9,3,0,0,648400,"R3",465600,182800,NA,3672,0
1900,2007,"A - Average",4,1,0,0,502900,"R1",339700,163200,NA,1781.2,0
1900,1998,"A - Average",9,3,3,5,1884500,"R3",1473400,411100,NA,4589,0
1905,2011,"G - Good",12,3,0,1,1677200,"R3",1413600,263600,NA,4362,0
1875,1998,"G - Good",2,2,0,1,986500,"R1",692000,294500,NA,1030.4,0
1925,1972,"A - Average",5,2,0,0,831300,"R2",558400,272900,NA,2302,0
1920,NA,"A - Average",6,3,0,0,916700,"R3",675600,241100,NA,3090,0
1890,NA,"A - Average",8,3,0,0,785300,"R3",585600,199700,NA,3735,0
1900,NA,"A - Average",9,3,0,1,1375700,"R3",992600,383100,NA,3695,0
1905,NA,"A - Average",4,2,0,0,600600,"R2",401300,199300,NA,2929.5,0
1902,2021,"A - Average",5,1,0,0,1018900,"R1",653300,365600,NA,2997.2,0
1984,NA,"A - Average",2,1,0,0,438500,"R1",336200,102300,NA,806.4,0
1929,NA,"A - Average",9,3,0,1,1095100,"R3",739200,355900,NA,4506,0
1884,NA,"A - Average",3,1,0,0,703100,"R1",421100,282000,NA,1776,0
1961,2021,"G - Good",6,3,1,3,978200,"R2",711300,266900,NA,2046,0
1905,NA,"A - Average",4,2,0,2,791700,"R1",532700,259000,NA,1960,0
1925,2006,"A - Average",6,2,0,1,811000,"R2",580300,230700,NA,2186.4,0
1950,NA,"A - Average",2,1,0,1,397200,"R1",197200,2e+05,NA,1044,0
1925,2019,"G - Good",6,2,0,0,938100,"R2",672600,265500,NA,2664,0
1925,2011,"G - Good",4,2,0,0,962200,"R1",704700,257500,NA,2169.2,0
1900,NA,"A - Average",9,3,2,8,1870000,"R3",1291900,578100,NA,4120,0
1880,NA,"A - Average",3,1,0,0,434900,"R1",296600,138300,NA,1269,0
